Date,Open,High,Low,Close,Adj Close,Volume,Return_1W,Return_4W,Return_12W,Return_26W,Return_52W
2011-02-04,4633.2998046875,4723.9501953125,4557.10009765625,4573.25,4573.25,0,,,,,
2011-02-11,4550.39990234375,4558.60009765625,4354.7001953125,4428.7001953125,4428.7001953125,0,-0.0316076760919477,,,,
2011-02-18,4436.64990234375,4553.25,4432.35009765625,4463.25,4463.25,0,0.00780134196576876,,,,
2011-02-25,4460.60009765625,4507.39990234375,4274.25,4328.10009765625,4328.10009765625,0,-0.030280603224948188,,,,
2011-03-04,4338.4501953125,4499.7001953125,4317.7998046875,4446.75,4446.75,0,0.027413853577000546,-0.027660853878532787,,,
2011-03-11,4433.64990234375,4472.25,4345.2001953125,4386.85009765625,4386.85009765625,0,-0.013470490210547026,-0.009449747287148869,,,
2011-03-18,4381.0,4428.75,4307.2998046875,4340.0,4340.0,23451000,-0.010679666871060922,-0.027614406542317838,,,
2011-03-25,4352.39990234375,4501.5498046875,4336.35009765625,4480.39990234375,4480.39990234375,26914000,0.03235020791330645,0.03518860498858922,,,
2011-04-01,4477.60009765625,4591.85009765625,4422.35009765625,4550.9501953125,4550.9501953125,39325000,0.01574642766415657,0.023432888134592655,,,
2011-04-08,4573.4501953125,4611.7001953125,4552.14990234375,4587.9501953125,4587.9501953125,26102000,0.008130170274794457,0.04584157041602377,,,
2011-04-15,4608.25,4626.5498046875,4555.25,4593.7998046875,4593.7998046875,13048000,0.0012749940879865918,0.058479217669930916,,,
2011-04-22,4597.85009765625,4643.10009765625,4526.60009765625,4610.2998046875,4610.2998046875,14120000,0.0035917977930086664,0.028992925893913668,,,
2011-04-29,4613.2001953125,4701.4501953125,4567.2998046875,4685.5498046875,4685.5498046875,24181000,0.016322148924781343,0.029576155219988687,0.024555798324495726,,
2011-05-06,4711.5498046875,4750.4501953125,4488.7998046875,4539.25,4539.25,28102000,-0.03122361532495921,-0.010614804703472314,0.0249621333149872,,
2011-05-13,4551.10009765625,4645.14990234375,4500.85009765625,4607.5498046875,4607.5498046875,39474000,0.015046495497604173,0.002993164827507222,0.03233065696241533,,
2011-05-20,4608.35009765625,4682.89990234375,4551.0498046875,4619.7998046875,4619.7998046875,40157000,0.002658679888286164,0.0020606035187431537,0.06739670997655778,,
2011-05-27,4610.4501953125,4646.7001953125,4520.7001953125,4632.10009765625,4632.10009765625,30585000,0.0026625164484983532,-0.011407350099614355,0.04168214935767689,,
2011-06-03,4647.2001953125,4853.5,4647.2001953125,4759.39990234375,4759.39990234375,32729000,0.027482092788087886,0.04849917989618335,0.08492421587109655,,
2011-06-10,4757.0,4857.64990234375,4754.85009765625,4772.64990234375,4772.64990234375,20228000,0.0027839644223792703,0.03583251503614471,0.09968891759072585,,
2011-06-17,4756.60009765625,4847.39990234375,4741.14990234375,4754.5,4754.5,25706000,-0.0038028983300947283,0.029157149878188626,0.06117759656071442,,
2011-06-24,4758.9501953125,4793.0498046875,4598.39990234375,4720.5,4720.5,25914000,-0.007151119991586907,0.019084195177146324,0.037255913031554844,,
2011-07-01,4712.7998046875,4868.7998046875,4697.60009765625,4796.25,4796.25,28789000,0.016047028916428285,0.007742593270656517,0.045401496489722026,,
2011-07-08,4816.0498046875,4910.35009765625,4787.2001953125,4850.2998046875,4850.2998046875,19381000,0.011269180023455894,0.01626976709639183,0.05583612932767945,,
2011-07-15,4853.7001953125,4960.39990234375,4778.5,4922.2998046875,4922.2998046875,20950000,0.014844443209555136,0.03529283934956351,0.06767455766819674,,
2011-07-22,4914.85009765625,4938.9501953125,4773.2001953125,4850.0,4850.0,30177000,-0.014688216394021514,0.027433534583200858,0.03509731027679641,,
2011-07-29,4843.35009765625,4949.2001953125,4811.2001953125,4848.4501953125,4848.4501953125,32960000,-0.00031954735824746283,0.010883543458431122,0.06811702270474207,,
2011-08-05,4859.5,4906.75,4633.0,4710.75,4710.75,28225000,-0.02840086827036592,-0.02877137709150146,0.022398063979147675,0.030066145520144305,
2011-08-12,4653.89990234375,4713.4501953125,4521.2001953125,4555.0498046875,4555.0498046875,32700000,-0.03305210323462293,-0.07460943351119498,-0.01401575885048112,0.028529727414994932,
2011-08-19,4575.75,4601.64990234375,4366.9501953125,4418.9501953125,4418.9501953125,16929000,-0.029878841112767396,-0.0888762483891753,-0.046015823891975005,-0.009925458956477895,
2011-08-26,4416.10009765625,4504.0,4374.14990234375,4412.2001953125,4412.2001953125,25016000,-0.0015275121242960266,-0.08997720558659505,-0.07295031183663991,0.01943118129402599,
2011-09-02,4420.35009765625,4615.85009765625,4420.35009765625,4587.9501953125,4587.9501953125,18084000,0.039832734740077314,-0.026067994414371354,-0.03869961359213625,0.03175357177995175,
2011-09-09,4577.89990234375,4625.2998046875,4521.5,4551.25,4551.25,29052000,-0.007999257566046913,-0.0008341960791712344,-0.04274897465558947,0.037475614320987116,
2011-09-16,4531.10009765625,4602.60009765625,4466.10009765625,4567.25,4567.25,26780000,0.003515517714913541,0.03355996291716812,-0.03246478127317021,0.052361751152073754,
2011-09-23,4583.85009765625,4617.9501953125,4452.10009765625,4487.39990234375,4487.39990234375,22343000,-0.017483189590289605,0.017043584538875223,-0.06439407821866039,0.0015623605375800764,
2011-09-30,4503.14990234375,4557.75,4422.64990234375,4520.9501953125,4520.9501953125,24646000,0.007476555176467947,-0.01460347151729191,-0.06790293850633833,-0.006592029952536049,
2011-10-07,4498.0498046875,4586.60009765625,4440.25,4518.39990234375,4518.39990234375,17946000,-0.0005641055217538993,-0.0072178187654490245,-0.08205512024259809,-0.015159339140126127,
2011-10-14,4520.2001953125,4580.25,4484.2001953125,4537.89990234375,4537.89990234375,23449000,0.0043156870621134935,-0.006426207817888274,-0.06435053559922677,-0.012168554295010847,
2011-10-21,4540.9501953125,4622.9501953125,4493.60009765625,4568.10009765625,4568.10009765625,25282000,0.006655103894403158,0.017983731574792383,-0.05782262091240897,-0.009153354189318397,
2011-10-28,4601.35009765625,4816.35009765625,4581.4501953125,4772.4501953125,4772.4501953125,16575000,0.04473415496326272,0.05562989839188348,0.013097743525447125,0.01854646610266819,
2011-11-04,4765.85009765625,4771.75,4687.9501953125,4748.9501953125,4748.9501953125,21496000,-0.004924095388796679,0.05102476495034458,0.042568226241008755,0.04619710201299765,
2011-11-11,4733.85009765625,4745.7001953125,4621.25,4661.2001953125,4661.2001953125,16118000,-0.01847776800999401,0.027171223610522377,0.05482071290528956,0.011644017514562455,
2011-11-18,4685.7998046875,4729.7998046875,4552.9501953125,4601.75,4601.75,36935000,-0.012754267746810322,0.007366279552633914,0.0429603817362767,-0.003907053433178098,
2011-11-25,4602.10009765625,4639.0498046875,4492.7998046875,4594.75,4594.75,25785000,-0.0015211604280980229,-0.03723458350325737,0.0014821008071201902,-0.008063318336999803,
2011-12-02,4625.0498046875,4798.7001953125,4625.0498046875,4744.60009765625,4744.60009765625,31022000,0.032613329921377554,-0.0009160124821995241,0.042482855843174905,-0.003109594694955531,
2011-12-09,4740.89990234375,4755.7001953125,4577.25,4606.25,4606.25,20892000,-0.029159485480049763,-0.01178885115635242,0.0085390552301714,-0.03486530664275933,
2011-12-16,4621.64990234375,4655.7001953125,4537.5498046875,4588.5498046875,4588.5498046875,36405000,-0.003842647557666168,-0.0028685163932199442,0.0225408710043693,-0.034903816450205016,
2011-12-23,4584.10009765625,4605.7001953125,4504.89990234375,4561.2001953125,4561.2001953125,31792000,-0.005960403730839059,-0.007301769342728082,0.00890299566709074,-0.03374638379144157,
2011-12-30,4546.89990234375,4594.9501953125,4507.5498046875,4576.25,4576.25,21251000,0.0032995273268132674,-0.03548246305087166,0.012803226563953052,-0.045869168621318734,
2012-01-06,4586.64990234375,4690.85009765625,4542.7001953125,4658.60009765625,4658.60009765625,22644000,0.0179951046503688,0.011365014416553576,0.026598249831416565,-0.039523269643246484,
2012-01-13,4672.7998046875,4794.5,4639.7001953125,4752.0498046875,4752.0498046875,26020000,0.02005961127212119,0.0356321728998068,0.04026831792184882,-0.03458749096060165,
2012-01-20,4738.60009765625,4830.89990234375,4688.60009765625,4790.9501953125,4790.9501953125,24499000,0.008186023342311888,0.05037051437385087,0.003876415518839993,-0.012175217461340204,
2012-01-27,4799.0,4838.25,4765.64990234375,4824.14990234375,4824.14990234375,23795000,0.006929670666109722,0.054170970192570334,0.015835016990802808,-0.005011971246449809,
2012-02-03,4804.4501953125,4915.2998046875,4798.0498046875,4906.35009765625,4906.35009765625,34487000,0.017039311998278572,0.053181212125213984,0.052593729527061095,0.04152207135939068,0.07283662551932424
2012-02-10,4942.5498046875,4976.39990234375,4822.2001953125,4837.9501953125,4837.9501953125,31510000,-0.013941096942190145,0.01807649207301365,0.05132834145977072,0.062106980769754294,0.09240860341667867
2012-02-17,4856.35009765625,4881.4501953125,4790.7001953125,4833.9501953125,4833.9501953125,38036000,-0.0008267964403344541,0.00897525506361374,0.05205945814516566,0.09391370838264268,0.08305611276816216
2012-02-24,4844.5498046875,4884.5498046875,4764.60009765625,4781.10009765625,4781.10009765625,21666000,-0.010933107607831616,-0.00892381156451727,0.007692956044500043,0.0836090580694111,0.1046648621286066
2012-03-02,4792.39990234375,4938.0,4763.9501953125,4873.4501953125,4873.4501953125,23981000,0.01931565869150509,-0.006705575771991157,0.05800818351424697,0.06222822564457986,0.09595776585427562
2012-03-09,4868.89990234375,4922.2998046875,4808.7998046875,4889.35009765625,4889.35009765625,17865000,0.0032625556241536735,0.01062431407283837,0.0655545446322634,0.07428730517028281,0.11454688188877693
2012-03-16,4921.35009765625,4959.4501953125,4786.64990234375,4805.10009765625,4805.10009765625,37483000,-0.017231328973637217,-0.005968224017745549,0.053472746623663525,0.05207731077918876,0.10716592111895151
