Date,Asset,Return
2007-09-28,NIFTY 50,0.03799450142934968
2007-10-05,NIFTY 50,0.032760113674762836
2007-10-12,NIFTY 50,0.0467425586507606
2007-10-19,NIFTY 50,-0.03922999038594388
2007-10-26,NIFTY 50,0.09337909961806701
2007-11-02,NIFTY 50,0.04035215711862428
2007-11-09,NIFTY 50,-0.03938539312756717
2007-11-16,NIFTY 50,0.036516797132046586
2007-11-23,NIFTY 50,-0.05049222429367917
2007-11-30,NIFTY 50,0.02748455936592209
2007-12-07,NIFTY 50,0.03670987023339545
2007-12-14,NIFTY 50,0.01228602397345524
2007-12-21,NIFTY 50,-0.046497046187979785
2007-12-28,NIFTY 50,0.05431374235888331
2008-01-04,NIFTY 50,0.03200809301830998
2008-01-11,NIFTY 50,-0.01182597410723274
2008-01-18,NIFTY 50,-0.07980521042810151
2008-01-25,NIFTY 50,-0.056429936734741726
2008-02-01,NIFTY 50,-0.012278617674341463
2008-02-08,NIFTY 50,-0.03703040149395831
2008-02-15,NIFTY 50,0.035651820911827725
2008-02-22,NIFTY 50,-0.03623487259467684
2008-02-29,NIFTY 50,0.022061341290417147
2008-03-07,NIFTY 50,-0.08651285581387003
2008-03-14,NIFTY 50,-0.00540705265334851
2008-03-21,NIFTY 50,-0.036210884665902165
2008-03-28,NIFTY 50,0.0804665090286043
2008-04-04,NIFTY 50,-0.0596924322136787
2008-04-11,NIFTY 50,0.02814714970679999
2008-04-18,NIFTY 50,0.037799846171675755
2008-04-25,NIFTY 50,0.030917291059215923
2008-05-02,NIFTY 50,0.022790851487501484
2008-05-09,NIFTY 50,-0.04697603161341257
2008-05-16,NIFTY 50,0.035142314097937444
2008-05-23,NIFTY 50,-0.0409388647321729
2008-05-30,NIFTY 50,-0.015455157645194229
2008-06-06,NIFTY 50,-0.049752630974742695
2008-06-13,NIFTY 50,-0.023920591145520698
2008-06-20,NIFTY 50,-0.03753520827592971
2008-06-27,NIFTY 50,-0.048510060107042174
2008-07-04,NIFTY 50,-0.02916608975668744
2008-07-11,NIFTY 50,0.008217131474103523
2008-07-18,NIFTY 50,0.01068164979007169
2008-07-25,NIFTY 50,0.05366243451799124
2008-08-01,NIFTY 50,0.023586095232422277
2008-08-08,NIFTY 50,0.026271414268250082
2008-08-15,NIFTY 50,-0.02181251897284464
2008-08-22,NIFTY 50,-0.02330331447594547
2008-08-29,NIFTY 50,0.007521705211710472
2008-09-05,NIFTY 50,-0.0017660998423164598
2008-09-12,NIFTY 50,-0.02845613007670378
2008-09-19,NIFTY 50,0.003973040691391816
2008-09-26,NIFTY 50,-0.06124492079382837
2008-10-03,NIFTY 50,-0.04189196441173704
2008-10-10,NIFTY 50,-0.1409920883041853
2008-10-17,NIFTY 50,-0.0626838386488694
2008-10-24,NIFTY 50,-0.15949715617296534
2008-10-31,NIFTY 50,0.11671830404653627
2008-11-07,NIFTY 50,0.030288293382973785
2008-11-14,NIFTY 50,-0.05470901525185001
2008-11-21,NIFTY 50,-0.04159629313866142
2008-11-28,NIFTY 50,0.022888914812600136
2008-12-05,NIFTY 50,-0.014772673902891387
2008-12-12,NIFTY 50,0.07624160136972025
2008-12-19,NIFTY 50,0.0534512801012883
2008-12-26,NIFTY 50,-0.07156783103168152
2009-01-02,NIFTY 50,0.06632251290576607
2009-01-09,NIFTY 50,-0.05702798063510295
2009-01-16,NIFTY 50,-0.015506456257614043
2009-01-23,NIFTY 50,-0.05299719101681255
2009-01-30,NIFTY 50,0.07326725146907753
2009-02-06,NIFTY 50,-0.011026836869853618
2009-02-13,NIFTY 50,0.03701944932813461
2009-02-20,NIFTY 50,-0.07187075464776793
2009-02-27,NIFTY 50,0.009939867951988868
2009-03-06,NIFTY 50,-0.051924087735679914
2009-03-13,NIFTY 50,0.03782230076516013
2009-03-20,NIFTY 50,0.03228833274914966
2009-03-27,NIFTY 50,0.10744370362813283
2009-04-03,NIFTY 50,0.03294039203551713
2009-04-10,NIFTY 50,0.040796623536842214
2009-04-17,NIFTY 50,0.012671819062217482
2009-04-24,NIFTY 50,0.028468886785372405
2009-05-01,NIFTY 50,-0.001953615981649115
2009-05-08,NIFTY 50,0.04224298048695152
2009-05-15,NIFTY 50,0.01407185126052335
2009-05-22,NIFTY 50,0.15438566114225893
2009-05-29,NIFTY 50,0.04965204560870595
2009-06-05,NIFTY 50,0.031007249120611924
2009-06-12,NIFTY 50,-0.0007630425940211572
2009-06-19,NIFTY 50,-0.05886455697429682
2009-06-26,NIFTY 50,0.014349939943988366
2009-07-03,NIFTY 50,0.011141583818992107
2009-07-10,NIFTY 50,-0.09501047582217326
2009-07-17,NIFTY 50,0.09267222009010512
2009-07-24,NIFTY 50,0.044251843045534756
2009-07-31,NIFTY 50,0.01486256985867418
2009-08-07,NIFTY 50,-0.0334415957116303
2009-08-14,NIFTY 50,0.022013188845779297
2009-08-21,NIFTY 50,-0.011189834649297459
2009-08-28,NIFTY 50,0.044945747603607256
2009-09-04,NIFTY 50,-0.010977673722455394
2009-09-11,NIFTY 50,0.031866914250011424
2009-09-18,NIFTY 50,0.03033409032407297
2009-09-25,NIFTY 50,-0.003436382280356587
2009-10-02,NIFTY 50,0.025095978408673503
2009-10-09,NIFTY 50,-0.02718647159109633
2009-10-16,NIFTY 50,0.03982643760669924
2009-10-23,NIFTY 50,-0.028217788359323093
2009-10-30,NIFTY 50,-0.05710361523860075
2009-11-06,NIFTY 50,0.01792340419181726
2009-11-13,NIFTY 50,0.042283977168780185
2009-11-20,NIFTY 50,0.01070224705382472
2009-11-27,NIFTY 50,-0.021910200206466945
2009-12-04,NIFTY 50,0.03382403042318005
2009-12-11,NIFTY 50,0.0016441704680680846
2009-12-18,NIFTY 50,-0.025325780063987113
2009-12-25,NIFTY 50,0.03823399554176721
2010-01-01,NIFTY 50,0.004373919119977421
2010-01-08,NIFTY 50,0.008402187433989683
2010-01-15,NIFTY 50,0.0014205053267553058
2010-01-22,NIFTY 50,-0.04116373848534083
2010-01-29,NIFTY 50,-0.030569935526707726
2010-02-05,NIFTY 50,-0.033469527940264254
2010-02-12,NIFTY 50,0.022930329130533167
2010-02-19,NIFTY 50,0.0037394583055860853
2010-02-26,NIFTY 50,0.01597554209660923
2010-03-05,NIFTY 50,0.0338054156040104
2010-03-12,NIFTY 50,0.009491579938623929
2010-03-19,NIFTY 50,0.02448896334193118
2010-03-26,NIFTY 50,0.00364828532816297
2010-04-02,NIFTY 50,0.001609238924649814
2010-04-09,NIFTY 50,0.013467536149702308
2010-04-16,NIFTY 50,-0.018492078583251748
2010-04-23,NIFTY 50,0.00788583575227042
2010-04-30,NIFTY 50,-0.00492074002671683
2010-05-07,NIFTY 50,-0.04925164746352784
2010-05-14,NIFTY 50,0.015035760554233724
2010-05-21,NIFTY 50,-0.03187397617674492
2010-05-28,NIFTY 50,0.02745807874942008
2010-06-04,NIFTY 50,0.013608905067647559
2010-06-11,NIFTY 50,-0.003144757539431442
2010-06-18,NIFTY 50,0.027982067502197783
2010-06-25,NIFTY 50,0.0012255742240649958
2010-07-02,NIFTY 50,-0.006063656297730646
2010-07-09,NIFTY 50,0.022025566726874723
2010-07-16,NIFTY 50,0.007744062161951559
2010-07-23,NIFTY 50,0.010233819001445488
2010-07-30,NIFTY 50,-0.014956598069294835
2010-08-06,NIFTY 50,0.013348591743083782
2010-08-13,NIFTY 50,0.002362476013466841
2010-08-20,NIFTY 50,0.014407256521439704
2010-08-27,NIFTY 50,-0.022049796892689044
2010-09-03,NIFTY 50,0.013071478262471015
2010-09-10,NIFTY 50,0.029318886229682484
2010-09-17,NIFTY 50,0.04342167163514432
2010-09-24,NIFTY 50,0.022659428703613482
2010-10-01,NIFTY 50,0.02078661776849544
2010-10-08,NIFTY 50,-0.006502866110996486
2010-10-15,NIFTY 50,-0.0066847916609665825
2010-10-22,NIFTY 50,0.0005607947677195302
2010-10-29,NIFTY 50,-0.007970526278508028
2010-11-05,NIFTY 50,0.04388713309126313
2010-11-12,NIFTY 50,-0.033453772625312794
2010-11-19,NIFTY 50,-0.029868339013790268
2010-11-26,NIFTY 50,-0.023487702487554385
2010-12-03,NIFTY 50,0.04187268686214951
2010-12-10,NIFTY 50,-0.022602074396895877
2010-12-17,NIFTY 50,0.01560430925587375
2010-12-24,NIFTY 50,0.010565261215591537
2010-12-31,NIFTY 50,0.020443792059898547
2011-01-07,NIFTY 50,-0.0374765510381857
2011-01-14,NIFTY 50,-0.042348387500112716
2011-01-21,NIFTY 50,0.00741883912274055
2011-01-28,NIFTY 50,-0.032361993795532396
2011-02-04,NIFTY 50,-0.02111696967715937
2011-02-11,NIFTY 50,-0.015892137330306255
2011-02-18,NIFTY 50,0.028050884239642082
2011-02-25,NIFTY 50,-0.028467083425388173
2011-03-04,NIFTY 50,0.04434769238984426
2011-03-11,NIFTY 50,-0.01684492072895505
2011-03-18,NIFTY 50,-0.013176137403986043
2011-03-25,NIFTY 50,0.052207937638989454
2011-04-01,NIFTY 50,0.030384189713489773
2011-04-08,NIFTY 50,0.0027377375489765488
2011-04-15,NIFTY 50,-0.0029870241890619376
2011-04-22,NIFTY 50,0.010327045461366202
2011-04-29,NIFTY 50,-0.022974865468965544
2011-05-06,NIFTY 50,-0.034446439636055315
2011-05-13,NIFTY 50,-0.0012069270328962656
2011-05-20,NIFTY 50,-0.010532468072275591
2011-05-27,NIFTY 50,-0.0018682730444742335
2011-06-03,NIFTY 50,0.007423148156321613
2011-06-10,NIFTY 50,-0.00561022256083743
2011-06-17,NIFTY 50,-0.021765267890695772
2011-06-24,NIFTY 50,0.01953825647813856
2011-07-01,NIFTY 50,0.028503576936257602
2011-07-08,NIFTY 50,0.005944289499263622
2011-07-15,NIFTY 50,-0.01405312217852639
2011-07-22,NIFTY 50,0.009469476757538287
2011-07-29,NIFTY 50,-0.02697045412984378
2011-08-05,NIFTY 50,-0.04938890915724192
2011-08-12,NIFTY 50,-0.02653870082753662
2011-08-19,NIFTY 50,-0.04480633245301313
2011-08-26,NIFTY 50,-0.02019338987096897
2011-09-02,NIFTY 50,0.06154433786867153
2011-09-09,NIFTY 50,0.003859165736607162
2011-09-16,NIFTY 50,0.004901679773521073
2011-09-23,NIFTY 50,-0.04258248512563312
2011-09-30,NIFTY 50,0.015510246006882111
2011-10-07,NIFTY 50,-0.011166782038638523
2011-10-14,NIFTY 50,0.049968803461407196
2011-10-21,NIFTY 50,-0.016045362217496972
2011-10-28,NIFTY 50,0.061535260345428
2011-11-04,NIFTY 50,-0.014270523851882877
2011-11-11,NIFTY 50,-0.021829244425405125
2011-11-18,NIFTY 50,-0.050891453224388705
2011-11-25,NIFTY 50,-0.039901750538813396
2011-12-02,NIFTY 50,0.07220732513651518
2011-12-09,NIFTY 50,-0.03632559638400279
2011-12-16,NIFTY 50,-0.04419834570114467
2011-12-23,NIFTY 50,0.013414717738782223
2011-12-30,NIFTY 50,-0.0190284673976453
2012-01-06,NIFTY 50,0.028069177702789938
2012-01-13,NIFTY 50,0.02353755706551408
2012-01-20,NIFTY 50,0.037525708519574597
2012-01-27,NIFTY 50,0.03091948156652724
2012-02-03,NIFTY 50,0.023277018425165164
2012-02-10,NIFTY 50,0.010467812457683356
2012-02-17,NIFTY 50,0.03394895639139328
2012-02-24,NIFTY 50,-0.024261812759670653
2012-03-02,NIFTY 50,-0.01288374367738132
2012-03-09,NIFTY 50,-0.004814071202408066
2012-03-16,NIFTY 50,-0.0029342375935058618
2012-03-23,NIFTY 50,-0.0074652979108826845
2012-03-30,NIFTY 50,0.0032870313237469695
2012-04-06,NIFTY 50,0.005164732400786853
2012-04-13,NIFTY 50,-0.02168925006093314
2012-04-20,NIFTY 50,0.016015496877689328
2012-04-27,NIFTY 50,-0.018947805768379067
2012-05-04,NIFTY 50,-0.01998805495473388
2012-05-11,NIFTY 50,-0.031050688005387683
2012-05-18,NIFTY 50,-0.0075979848999250255
2012-05-25,NIFTY 50,0.005918430296804944
2012-06-01,NIFTY 50,-0.016014918756901197
2012-06-08,NIFTY 50,0.046833690397058314
2012-06-15,NIFTY 50,0.013949254820408541
2012-06-22,NIFTY 50,0.0013621195096444882
2012-06-29,NIFTY 50,0.02581593701934981
2012-07-06,NIFTY 50,0.0072079966797355954
2012-07-13,NIFTY 50,-0.016870610409625564
2012-07-20,NIFTY 50,-0.004237391045721961
2012-07-27,NIFTY 50,-0.02022055253988142
2012-08-03,NIFTY 50,0.022716373116435706
2012-08-10,NIFTY 50,0.020073950401778617
2012-08-17,NIFTY 50,0.008627152692700868
2012-08-24,NIFTY 50,0.0038015748965758434
2012-08-31,NIFTY 50,-0.02379939307260126
2012-09-07,NIFTY 50,0.01589808836288875
2012-09-14,NIFTY 50,0.044093109522759244
2012-09-21,NIFTY 50,0.020349072097964882
2012-09-28,NIFTY 50,0.002134876527983609
2012-10-05,NIFTY 50,0.0076535325372733
2012-10-12,NIFTY 50,-0.012337046296804544
2012-10-19,NIFTY 50,0.001444701085203226
2012-10-26,NIFTY 50,0.003703180663676031
2012-11-02,NIFTY 50,-0.0013320262975060615
2012-11-09,NIFTY 50,-0.002009617024412824
2012-11-16,NIFTY 50,-0.01973184353704116
2012-11-23,NIFTY 50,0.009427668357853136
2012-11-30,NIFTY 50,0.045009418761694286
2012-12-07,NIFTY 50,0.004685460382481743
2012-12-14,NIFTY 50,-0.004705929029194422
2012-12-21,NIFTY 50,-0.00542552245287331
2012-12-28,NIFTY 50,0.010371582043889216
2013-01-04,NIFTY 50,0.018245331252503494
2013-01-11,NIFTY 50,-0.010779335407016033
2013-01-18,NIFTY 50,0.019004268204933616
2013-01-25,NIFTY 50,0.0016901919670631038
2013-02-01,NIFTY 50,-0.01246985443075066
2013-02-08,NIFTY 50,-0.015902899514372182
2013-02-15,NIFTY 50,-0.0027272122734395277
2013-02-22,NIFTY 50,-0.006301609924863505
2013-03-01,NIFTY 50,-0.022323575497850245
2013-03-08,NIFTY 50,0.039512560498400795
2013-03-15,NIFTY 50,-0.012294615479246818
2013-03-22,NIFTY 50,-0.037674964465620686
2013-03-29,NIFTY 50,0.005520752827574693
2013-04-05,NIFTY 50,-0.022753835713123283
2013-04-12,NIFTY 50,-0.004447881026876099
2013-04-19,NIFTY 50,0.046042868738005005
2013-04-26,NIFTY 50,0.015277290063171467
2013-05-03,NIFTY 50,0.01235636891639147
2013-05-10,NIFTY 50,0.025361709286675582
2013-05-17,NIFTY 50,0.015185168331350862
2013-05-24,NIFTY 50,-0.03293035838438585
2013-05-31,NIFTY 50,0.0004011649778730142
2013-06-07,NIFTY 50,-0.017532754514844595
2013-06-14,NIFTY 50,-0.012344855918423714
2013-06-21,NIFTY 50,-0.02423214695379461
2013-06-28,NIFTY 50,0.030797649109654435
2013-07-05,NIFTY 50,0.004398977469459275
