Date,Adj Close,Close,High,Low,Open,Volume
2011-01-31,4689.7998046875,4689.7998046875,4700.60009765625,4593.89990234375,4633.2998046875,0
2011-02-01,4629.25,4629.25,4723.9501953125,4598.10009765625,4705.7998046875,0
2011-02-02,4630.2001953125,4630.2001953125,4672.2998046875,4603.25,4643.64990234375,0
2011-02-03,4640.89990234375,4640.89990234375,4662.35009765625,4605.39990234375,4618.9501953125,0
2011-02-04,4573.25,4573.25,4679.5498046875,4557.10009765625,4637.85009765625,0
2011-02-07,4500.2001953125,4500.2001953125,4558.60009765625,4490.0,4550.39990234375,0
2011-02-08,4427.60009765625,4427.60009765625,4541.7001953125,4411.4501953125,4541.7001953125,0
2011-02-09,4373.25,4373.25,4466.60009765625,4354.7001953125,4422.89990234375,0
2011-02-10,4393.39990234375,4393.39990234375,4419.5,4356.7998046875,4358.4501953125,0
2011-02-11,4428.7001953125,4428.7001953125,4437.4501953125,4367.85009765625,4387.7998046875,0
2011-02-14,4515.2001953125,4515.2001953125,4525.25,4432.35009765625,4436.64990234375,0
2011-02-15,4498.35009765625,4498.35009765625,4553.25,4449.5498046875,4520.9501953125,0
2011-02-16,4451.35009765625,4451.35009765625,4552.2001953125,4433.25,4485.7001953125,0
2011-02-17,4477.4501953125,4477.4501953125,4500.85009765625,4437.60009765625,4458.75,0
2011-02-18,4463.25,4463.25,4518.10009765625,4456.9501953125,4479.85009765625,0
2011-02-21,4497.2998046875,4497.2998046875,4507.39990234375,4427.0,4460.60009765625,0
2011-02-22,4458.9501953125,4458.9501953125,4489.4501953125,4432.64990234375,4489.4501953125,0
2011-02-23,4426.39990234375,4426.39990234375,4472.7001953125,4418.9501953125,4459.85009765625,0
2011-02-24,4300.25,4300.25,4422.89990234375,4274.25,4412.89990234375,0
2011-02-25,4328.10009765625,4328.10009765625,4368.7998046875,4300.7998046875,4337.2998046875,0
2011-02-28,4331.0498046875,4331.0498046875,4404.75,4317.7998046875,4338.4501953125,0
2011-03-01,4473.64990234375,4473.64990234375,4481.5498046875,4334.60009765625,4334.60009765625,0
2011-03-03,4456.39990234375,4456.39990234375,4485.5498046875,4425.0,4458.89990234375,0
2011-03-04,4446.75,4446.75,4499.7001953125,4438.10009765625,4481.85009765625,0
2011-03-07,4427.35009765625,4427.35009765625,4438.39990234375,4375.35009765625,4433.64990234375,0
2011-03-08,4447.2001953125,4447.2001953125,4472.25,4432.4501953125,4440.9501953125,0
2011-03-09,4425.0498046875,4425.0498046875,4466.85009765625,4394.2998046875,4451.75,0
2011-03-10,4395.64990234375,4395.64990234375,4424.2001953125,4386.25,4424.2001953125,0
2011-03-11,4386.85009765625,4386.85009765625,4429.35009765625,4345.2001953125,4384.89990234375,0
2011-03-14,4419.85009765625,4419.85009765625,4428.75,4364.7001953125,4381.0,3765000
2011-03-15,4346.2001953125,4346.2001953125,4401.10009765625,4307.2998046875,4379.9501953125,6075000
2011-03-16,4408.9501953125,4408.9501953125,4426.0,4359.4501953125,4359.4501953125,4313000
2011-03-17,4385.5,4385.5,4417.9501953125,4363.64990234375,4377.85009765625,4368000
2011-03-18,4340.0,4340.0,4417.0498046875,4331.14990234375,4405.7998046875,4930000
2011-03-21,4344.7998046875,4344.7998046875,4368.0498046875,4336.35009765625,4352.39990234375,6084000
2011-03-22,4389.75,4389.75,4397.64990234375,4347.2001953125,4347.2001953125,6560000
2011-03-23,4462.2998046875,4462.2998046875,4473.85009765625,4393.5498046875,4396.89990234375,4686000
2011-03-24,4463.0498046875,4463.0498046875,4495.5,4454.4501953125,4469.25,3923000
2011-03-25,4480.39990234375,4480.39990234375,4501.5498046875,4468.5498046875,4501.5498046875,5661000
2011-03-28,4441.4501953125,4441.4501953125,4500.2998046875,4426.85009765625,4477.60009765625,7870000
2011-03-29,4469.2998046875,4469.2998046875,4481.4501953125,4422.35009765625,4433.39990234375,6425000
2011-03-30,4561.0,4561.0,4568.0,4490.75,4491.2998046875,6990000
2011-03-31,4535.85009765625,4535.85009765625,4591.85009765625,4503.64990234375,4569.25,12172000
2011-04-01,4550.9501953125,4550.9501953125,4564.35009765625,4524.9501953125,4541.5,5868000
2011-04-04,4570.4501953125,4570.4501953125,4580.5498046875,4552.14990234375,4573.4501953125,5086000
2011-04-05,4590.7998046875,4590.7998046875,4602.64990234375,4558.0,4583.5,4311000
2011-04-06,4577.10009765625,4577.10009765625,4606.60009765625,4567.39990234375,4588.75,5392000
2011-04-07,4583.60009765625,4583.60009765625,4600.0498046875,4575.7998046875,4581.7998046875,6075000
2011-04-08,4587.9501953125,4587.9501953125,4611.7001953125,4571.2001953125,4592.2001953125,5238000
2011-04-11,4588.2001953125,4588.2001953125,4618.25,4575.35009765625,4608.25,5284000
2011-04-13,4619.0,4619.0,4626.5498046875,4555.25,4589.75,5041000
2011-04-15,4593.7998046875,4593.7998046875,4623.0,4577.7001953125,4621.14990234375,2723000
2011-04-18,4563.9501953125,4563.9501953125,4628.7998046875,4540.75,4597.85009765625,4328000
2011-04-19,4546.5,4546.5,4567.25,4526.60009765625,4555.25,3166000
2011-04-20,4619.0,4619.0,4624.89990234375,4548.2001953125,4560.64990234375,3515000
2011-04-21,4610.2998046875,4610.2998046875,4643.10009765625,4598.89990234375,4622.9501953125,3111000
