Date,Adj Close,Close,High,Low,Open,Volume
2011-01-31,8788.0,8788.0,8852.75,8639.0,8688.400390625,0
2011-02-01,8611.0498046875,8611.0498046875,8843.5,8580.099609375,8838.849609375,0
2011-02-02,8718.7001953125,8718.7001953125,8796.9501953125,8675.4501953125,8703.650390625,0
2011-02-03,8869.7001953125,8869.7001953125,8888.2998046875,8652.75,8745.5,0
2011-02-04,8677.5,8677.5,8903.349609375,8638.75,8885.599609375,0
2011-02-07,8734.0498046875,8734.0498046875,8786.75,8660.150390625,8729.599609375,0
2011-02-08,8571.2001953125,8571.2001953125,8806.5498046875,8559.5,8806.5498046875,0
2011-02-09,8497.25,8497.25,8685.25,8436.7998046875,8539.650390625,0
2011-02-10,8426.650390625,8426.650390625,8545.400390625,8366.0498046875,8489.150390625,0
2011-02-11,8520.5498046875,8520.5498046875,8550.2001953125,8325.849609375,8433.2001953125,0
2011-02-14,8619.9501953125,8619.9501953125,8635.5498046875,8483.650390625,8529.4501953125,0
2011-02-15,8788.2998046875,8788.2998046875,8824.9501953125,8611.099609375,8626.9501953125,0
2011-02-16,8796.650390625,8796.650390625,8839.599609375,8764.099609375,8764.099609375,0
2011-02-17,8828.099609375,8828.099609375,8835.900390625,8705.150390625,8823.400390625,0
2011-02-18,8645.650390625,8645.650390625,8881.400390625,8621.599609375,8844.0498046875,0
2011-02-21,8769.599609375,8769.599609375,8795.0498046875,8606.7001953125,8644.849609375,0
2011-02-22,8868.2998046875,8868.2998046875,9008.9501953125,8823.2998046875,8934.75,0
2011-02-23,8891.9501953125,8891.9501953125,8949.849609375,8866.2001953125,8875.599609375,0
2011-02-24,8675.7998046875,8675.7998046875,8900.75,8643.9501953125,8862.5498046875,0
2011-02-25,8660.849609375,8660.849609375,8775.849609375,8583.0498046875,8769.400390625,0
2011-02-28,8680.099609375,8680.099609375,8882.0,8652.099609375,8701.849609375,0
2011-03-01,8908.25,8908.25,8921.650390625,8719.900390625,8756.25,0
2011-03-03,8860.9501953125,8860.9501953125,8936.2001953125,8801.849609375,8817.900390625,0
2011-03-04,8915.2001953125,8915.2001953125,8963.0498046875,8884.7998046875,8900.75,0
2011-03-07,8860.7998046875,8860.7998046875,8893.4501953125,8757.7001953125,8834.0,0
2011-03-08,8918.599609375,8918.599609375,8958.5,8854.150390625,8854.150390625,0
2011-03-09,8936.400390625,8936.400390625,8982.0,8779.2998046875,8950.2998046875,0
2011-03-10,8889.150390625,8889.150390625,8927.9501953125,8834.4501953125,8927.9501953125,0
2011-03-11,8937.599609375,8937.599609375,8952.0,8831.0498046875,8838.7001953125,0
2011-03-14,9145.0498046875,9145.0498046875,9167.0498046875,8945.099609375,8945.099609375,213400
2011-03-15,9140.650390625,9140.650390625,9229.5,8902.9501953125,8984.25,335400
2011-03-16,9222.0,9222.0,9269.349609375,9173.2001953125,9203.2001953125,214000
2011-03-17,9134.25,9134.25,9229.5498046875,9117.4501953125,9156.400390625,137500
2011-03-18,8921.2001953125,8921.2001953125,9182.0498046875,8899.150390625,9182.0,229600
2011-03-21,8904.5498046875,8904.5498046875,8974.849609375,8850.599609375,8974.5,137300
2011-03-22,8975.349609375,8975.349609375,9005.5,8913.400390625,8941.4501953125,126700
2011-03-23,9080.400390625,9080.400390625,9097.349609375,8957.900390625,8981.4501953125,144900
2011-03-24,9070.2998046875,9070.2998046875,9123.5498046875,9028.75,9103.099609375,148000
2011-03-25,9212.400390625,9212.400390625,9230.599609375,9073.0498046875,9158.900390625,206500
2011-03-28,9225.2001953125,9225.2001953125,9260.7998046875,9148.25,9202.0,247200
2011-03-29,9272.5498046875,9272.5498046875,9320.400390625,9199.75,9199.75,236900
2011-03-30,9329.5,9329.5,9366.2001953125,9300.2001953125,9300.2001953125,167800
2011-03-31,9480.650390625,9480.650390625,9509.650390625,9351.75,9351.75,409900
2011-04-01,9421.0,9421.0,9577.5,9398.099609375,9474.599609375,282300
2011-04-04,9525.900390625,9525.900390625,9545.400390625,9357.400390625,9429.599609375,204100
2011-04-05,9487.349609375,9487.349609375,9586.849609375,9433.5498046875,9550.400390625,173500
2011-04-06,9494.849609375,9494.849609375,9563.650390625,9448.099609375,9481.25,244900
2011-04-07,9441.400390625,9441.400390625,9522.9501953125,9413.75,9505.9501953125,245100
2011-04-08,9318.2998046875,9318.2998046875,9488.349609375,9285.0498046875,9443.900390625,171800
2011-04-11,9188.2001953125,9188.2001953125,9292.650390625,9177.5,9273.5498046875,129500
2011-04-13,9330.4501953125,9330.4501953125,9347.5,9135.2001953125,9144.0498046875,206000
2011-04-15,9285.400390625,9285.400390625,9316.2998046875,9194.5,9303.7998046875,140800
2011-04-18,9203.25,9203.25,9440.0,9189.599609375,9293.099609375,178000
2011-04-19,9248.400390625,9248.400390625,9273.650390625,9158.099609375,9176.7001953125,207100
2011-04-20,9384.7001953125,9384.7001953125,9403.5,9256.5498046875,9287.7998046875,153600
2011-04-21,9486.9501953125,9486.9501953125,9501.0498046875,9406.7998046875,9423.7998046875,199100
2011-04-25,9340.2001953125,9340.2001953125,9414.400390625,9329.2998046875,9347.7998046875,145600
2011-04-26,9305.7998046875,9305.7998046875,9351.099609375,9235.7998046875,9344.9501953125,226200
2011-04-27,9250.2998046875,9250.2998046875,9361.7998046875,9211.2998046875,9335.349609375,265100
2011-04-28,9195.900390625,9195.900390625,9284.849609375,9179.400390625,9284.849609375,368400
2011-04-29,9213.900390625,9213.900390625,9280.599609375,9138.150390625,9209.5498046875,249000
2011-05-02,9113.0498046875,9113.0498046875,9249.5498046875,9085.75,9221.7998046875,163100
2011-05-03,8923.2998046875,8923.2998046875,9127.099609375,8904.099609375,9111.150390625,181100
2011-05-04,9004.0,9004.0,9054.900390625,8890.2998046875,8941.0,209600
2011-05-05,8941.2001953125,8941.2001953125,9081.400390625,8914.0,8994.7001953125,231100
2011-05-06,8954.099609375,8954.099609375,9007.400390625,8928.400390625,8969.849609375,220900
2011-05-09,8979.7998046875,8979.7998046875,9021.650390625,8910.75,8997.4501953125,140300
2011-05-10,8964.75,8964.75,9062.25,8926.9501953125,8988.650390625,160400
2011-05-11,8957.7001953125,8957.7001953125,8977.349609375,8895.2001953125,8966.599609375,142800
2011-05-12,8889.75,8889.75,8983.7001953125,8857.75,8930.25,124800
2011-05-13,8916.150390625,8916.150390625,9017.099609375,8860.650390625,8896.0498046875,156400
2011-05-16,8849.849609375,8849.849609375,8944.900390625,8839.650390625,8940.7001953125,187100
2011-05-17,8615.599609375,8615.599609375,8855.599609375,8593.0498046875,8855.599609375,286200
2011-05-18,8486.5,8486.5,8652.7001953125,8466.349609375,8620.849609375,215600
2011-05-19,8541.25,8541.25,8586.5498046875,8510.5,8539.75,148300
2011-05-20,8598.150390625,8598.150390625,8627.849609375,8518.5498046875,8576.099609375,213900
2011-05-23,8472.400390625,8472.400390625,8560.900390625,8418.25,8560.900390625,193400
2011-05-24,8482.849609375,8482.849609375,8523.5,8437.400390625,8464.650390625,190500
2011-05-25,8392.9501953125,8392.9501953125,8483.099609375,8365.25,8483.099609375,162500
2011-05-26,8614.2998046875,8614.2998046875,8631.2998046875,8425.349609375,8445.7998046875,335700
2011-05-27,8719.2001953125,8719.2001953125,8777.25,8611.2998046875,8611.2998046875,261400
2011-05-30,8675.0498046875,8675.0498046875,8771.150390625,8650.150390625,8751.5,249000
2011-05-31,8784.099609375,8784.099609375,8806.150390625,8681.650390625,8698.650390625,376000
2011-06-01,8802.4501953125,8802.4501953125,8833.2001953125,8764.150390625,8787.5,175100
2011-06-02,8803.7001953125,8803.7001953125,8833.150390625,8714.2001953125,8720.5,189100
2011-06-03,8710.099609375,8710.099609375,8910.4501953125,8694.9501953125,8859.7001953125,170000
2011-06-06,8693.4501953125,8693.4501953125,8713.9501953125,8632.2998046875,8707.650390625,98500
2011-06-07,8792.7001953125,8792.7001953125,8807.0,8661.400390625,8661.400390625,162800
2011-06-08,8750.0,8750.0,8764.2001953125,8719.900390625,8757.099609375,222100
2011-06-09,8752.9501953125,8752.9501953125,8784.75,8724.5,8742.400390625,157700
2011-06-10,8702.599609375,8702.599609375,8753.099609375,8629.400390625,8750.5,169000
2011-06-13,8653.9501953125,8653.9501953125,8686.0498046875,8579.2998046875,8686.0498046875,134900
2011-06-14,8607.349609375,8607.349609375,8702.7001953125,8601.5498046875,8661.7998046875,152500
2011-06-15,8514.5498046875,8514.5498046875,8633.7001953125,8498.7001953125,8607.25,132300
2011-06-16,8442.400390625,8442.400390625,8522.650390625,8422.849609375,8505.599609375,168600
2011-06-17,8353.2998046875,8353.2998046875,8453.5,8330.650390625,8442.650390625,177400
2011-06-20,8072.7001953125,8072.7001953125,8378.5498046875,8051.4501953125,8366.5498046875,231100
2011-06-21,8144.4501953125,8144.4501953125,8194.7001953125,8072.14990234375,8119.39990234375,205700
2011-06-22,8162.0498046875,8162.0498046875,8207.0498046875,8098.5,8185.5,142500
2011-06-23,8308.25,8308.25,8322.5,8154.4501953125,8157.10009765625,166500
2011-06-24,8420.7998046875,8420.7998046875,8457.4501953125,8283.900390625,8347.2998046875,298600
